track	start	end	label
AnjelEnru-Bhairavi-AK-MSS	04.39	04.40	rgmm
AlameluManga-Bhairavi-Annamacharya-NK	01.39	01.40	nd'nn
AlameluManga-Bhairavi-Annamacharya-NK	01.52	01.54	pdndp
BhairaviParameswari-Bhairavi-HMB-RH	02.59	03.01	pdndp
D. K. Jayaraman - Thaye Ezhai	02.08	02.09	sgr

Arukkuponnambalan-bhairavi-GKB-NM	00.09	00.10	sndp
Arukkuponnambalan-bhairavi-GKB-NM	00.21	00.23	pd'ns
Arukkuponnambalan-bhairavi-GKB-NM	01.06	01.08	pd'ns
Arukkuponnambalan-bhairavi-GKB-NM	01.10	01.12	sndp
Arukkuponnambalan-bhairavi-GKB-NM	01.35	01.36	pgrsh
Arukkuponnambalan-bhairavi-GKB-NM	02.47	02.49	n
Arukkuponnambalan-bhairavi-GKB-NM	02.51	02.52	sndp
Bhavadiya-Bhairavi-ST-Unknown	00.00	00.02	d'ns
Bhavadiya-Bhairavi-ST-Unknown	00.29	00.31	rnd'ns
Bhavadiya-Bhairavi-ST-Unknown	00.33	00.34	rgmp
Bhavadiya-Bhairavi-ST-Unknown	01.46	01.48	mn
Bhavadiya-Bhairavi-ST-Unknown	02.06	02.08	rgmp

Chintayamakanda-Bhairavi-MD-DKJ	00.07	00.09	ndp
Chintayamakanda-Bhairavi-MD-DKJ	00.41	00.43	sndp
Chintayamakanda-Bhairavi-MD-DKJ	01.40	01.41	rsnd'
Chintayamakanda-Bhairavi-MD-DKJ	02.45	02.47	pd'ns
Chintayamakanda-Bhairavi-MD-DKJ	03.51	03.53	nsrsndp
Chintayamakanda-Bhairavi-MD-DKJ	04.43	04.45	mgr
Chintayamakanda-Bhairavi-MD-DKJ	05.34	05.35	m
Chintayamakanda-Bhairavi-MD-DKJ	05.37	05.38	mpdpd
Chintayamakanda-Bhairavi-MD-DKJ	05.38	05.39	ndp
Chintayamakanda-Bhairavi-MD-DKJ	06.20	06.21	pd'n
Chintayamakanda-Bhairavi-MD-DKJ	06.24	06.25	pd'n
Chintayamakanda-Bhairavi-MD-DKJ	06.45	06.46	nsrsn
Chintayamakanda-Bhairavi-MD-DKJ	07.22	07.23	grsnd
Chintayamakanda-Bhairavi-MD-DKJ	07.23	07.25	pd'n
Chintayamakanda-Bhairavi-MD-DKJ	07.42	07.44	grsrsrnsp

Namminavarini-Bhairavi-Tyagaraja-NK	00.21	00.24	rgmppmgrs
Namminavarini-Bhairavi-Tyagaraja-NK	00.24	00.25	sgr
Namminavarini-Bhairavi-Tyagaraja-NK	01.19	01.20	mpd'n
Namminavarini-Bhairavi-Tyagaraja-NK	02.01	02.02	rsndp
Namminavarini-Bhairavi-Tyagaraja-NK	02.03	02.04	pdndpm
Namminavarini-Bhairavi-Tyagaraja-NK	02.17	02.20	pd'nd'ns
Namminavarini-Bhairavi-Tyagaraja-NK	02.40	02.41	rsndp
Namminavarini-Bhairavi-Tyagaraja-NK	02.41	02.42	d'ns
Namminavarini-Bhairavi-Tyagaraja-NK	03.28	03.30	m
Namminavarini-Bhairavi-Tyagaraja-NK	03.30	03.31	rgmrgs
Namminavarini-Bhairavi-Tyagaraja-NK	03.38	03.39	rgm
Namminavarini-Bhairavi-Tyagaraja-NK	03.54	03.56	nd'n
Namminavarini-Bhairavi-Tyagaraja-NK	04.10	04.11	rsndp
Namminavarini-Bhairavi-Tyagaraja-NK	04.48	04.50	snd'ns

nAthabrOvavE-Bhairavi-Tyagaraja-BMKChorus.mp3	00.02	00.03	pdnd
nAthabrOvavE-Bhairavi-Tyagaraja-BMKChorus.mp3	00.07	00.08	rgmp
nAthabrOvavE-Bhairavi-Tyagaraja-BMKChorus.mp3	01.13	01.14	pdnd
nAthabrOvavE-Bhairavi-Tyagaraja-BMKChorus.mp3	01.16	01.17	d'nsr
nAthabrOvavE-Bhairavi-Tyagaraja-BMKChorus.mp3	01.19	01.20	nrs

Nijamathe-Bhairavi-T-MS	00.01	00.03	rs
Nijamathe-Bhairavi-T-MS	00.03	00.05	rgmpd
Nijamathe-Bhairavi-T-MS	00.14	00.17	nsndp
Nijamathe-Bhairavi-T-MS	00.50	00.52	pd'n
Nijamathe-Bhairavi-T-MS	00.52	00.54	snd'ns
Nijamathe-Bhairavi-T-MS	01.07	01.09	nrsndp
Nijamathe-Bhairavi-T-MS	01.38	01.40	p
Nijamathe-Bhairavi-T-MS	01.41	01.43	dppmm
Nijamathe-Bhairavi-T-MS	01.43	01.45	npd'
Nijamathe-Bhairavi-T-MS	02.02	02.04	rgm

attaruNam abhayam-Bhairavi-PS-SSub	00.04	00.07	rgmp
attaruNam abhayam-Bhairavi-PS-SSub	00.10	00.11	sndp
attaruNam abhayam-Bhairavi-PS-SSub	01.13	01.15	pd'nsr
attaruNam abhayam-Bhairavi-PS-SSub	01.32	01.34	nrrsndp
attaruNam abhayam-Bhairavi-PS-SSub	01.45	01.46	grs
attaruNam abhayam-Bhairavi-PS-SSub	01.46	01.47	nrsndp
attaruNam abhayam-Bhairavi-PS-SSub	02.09	02.10	pnspndp
attaruNam abhayam-Bhairavi-PS-SSub	02.38	02.40	pdndp
attaruNam abhayam-Bhairavi-PS-SSub	02.41	02.42	pd'n
attaruNam abhayam-Bhairavi-PS-SSub	03.09	03.11	rsndpndpm
attaruNam abhayam-Bhairavi-PS-SSub	02.49	02.51	mdpg
attaruNam abhayam-Bhairavi-PS-SSub	03.01	03.33	nrsndp
attaruNam abhayam-Bhairavi-PS-SSub	03.27	03.29	pdnd
attaruNam abhayam-Bhairavi-PS-SSub	03.35	03.37	mpmgr
attaruNam abhayam-Bhairavi-PS-SSub	03.50	03.51	pdpd'ns
attaruNam abhayam-Bhairavi-PS-SSub	03.52	03.54	rsngrsnrsndp

ElaRadayene-Bhairavi TQC-NK	00.15	00.17	grsnd
ElaRadayene-Bhairavi TQC-NK	00.10	00.13	pd'ns
ElaRadayene-Bhairavi TQC-NK	00.42	00.44	dpd'nd
ElaRadayene-Bhairavi TQC-NK	00.48	00.49	rgmpd'n
ElaRadayene-Bhairavi TQC-NK	00.28	00.29	rgmgrs
ElaRadayene-Bhairavi TQC-NK	02.15	02.18	pdmpd'n
