path,group,tonic,year
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/Arukkuponnambalan-bhairavi-GKB-NM.mp3,Group1,2.26984909057617E+02,1865
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/AryAmabhayAmbAmbhaja-bhairavi-MD-KS.mp3,Group1,1.39611892700195E+02,1810
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/Balagopala-Bhairavi-MD-HB.mov,Group1,1.38005630493164E+02,1810
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/Bhavadiya-Bhairavi-ST-Unknown.mp3,Group1,2.47564804077148E+02,1835
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/Chintayamakanda-Bhairavi-MD-DKJ.mp3,Group1,1.34848342895508E+02,1810
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/dEvIjagadIshvarI-bhairavi-MD-NR.mov,Group1,1.428806915283203125e+02,1810
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/EnatiNomuPhalamo- Bhairavi-Tyagaraja-MSS.mov,Group1,1.428806915283203125e+02,1820
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 1/Songs/Kamakshi-Bhairavi-SS-MSS.mp3,Group1,1.908153228759765625e+02,1800

/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/AlameluManga-Bhairavi-Annamacharya-NK.mp3,Group3,1.28748825073242E+02,1470
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/AnjelEnru-Bhairavi-AK-MSS.mov,Group3,1.930362243652340000E+02,1750
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/Intaparaku-Bhiaravi-GNB-CR.mov,Group3,1.8537419128418E+02,1945
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/KanakaKundalam-BhAiravi-DP-PSR.mp3,Group3,1.95282974243164E+02,
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/Nandagopalani-Bhairavi-Thooran-Unknown.mp3,Group3,2.763324890136720000E+02,1940
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/sATievvarE-bhairavi-SV-DKJ.mp3,Group3,1.372094573974609375e+02,
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 3/shrIkAmAkSi-bhairavi-SV-VV.mov,Group3,1.930362243652343750e+02,1835


/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/attaruNam abhayam-Bhairavi-PS-SSub.mov,Group2,1.470745544433593750e+02,1940
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/BhairaviParameswari-Bhairavi-HMB-RH.mp3,Group2,2.081158447265625000e+02,1920
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/D. K. Jayaraman - Thaye Ezhai.mp3,Group2,1.236384963989257812e+02,
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/ElaRadayene-Bhairavi TQC-NK.mp3,Group2,1.356308288574218750e+02,1820
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/Ikanannubrova-Bhairavi-PSI-Mali.mov,Group2,2.021813812255859375e+02,
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/Inimelavarukkum-Bhairavi-KKB-Unknown.mp3,Group2,1.420563812255859375e+02,
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/JananiMamava-Bhairavi-ST-AV.mov,Group2,1.964161529541015625e+02,1835
/Users/thomasnuttall/code/Subashri/Audios/Bhairavi/Group 2/Songs/NeeArulayoTaye-Bhairavi-KPP-SV.mov,Group2,1.356308288574218750e+02,
